Year,Male body mass index (kg/m2),Internet users (per 100 people),Agricultural land (% of land area),CO2 emissions (tonnes per person),GDP/capita (inflation-adjusted US$),Life expectancy at birth (years),Lung cancer (deaths per 100 000 men),Traffic deaths (per 100 000 people),President of the United States,Year event
1961,,,9.110607702,3.346952219,7806.356307,69.04,58.78,18.16389,John F. Kennedy,
1962,,,9.127023212,3.739877377,7984.657276,68.75,61.43,18.65345,John F. Kennedy,
1963,,,9.143438721,4.280243032,8188.86268,69.16,61.99,21.06928,John F. Kennedy,
1964,,,9.15985423,5.026822136,8570.042186,69.37,61.91,22.29412,Lyndon B. Johnson,
1965,,,9.17626974,5.549004288,8994.464023,69.13,63.55,23.52922,Lyndon B. Johnson,
1966,,,9.192685249,6.449930079,9173.440093,69.65,62.31,24.37011,Lyndon B. Johnson,
1967,,,9.209100758,6.243026104,9321.777268,69.83,64.07,22.64248,Lyndon B. Johnson,
1968,,,9.15985423,7.2599681,9493.764637,69.79,67.02,21.57503,Lyndon B. Johnson,
1969,,,9.038379461,8.254981916,10410.56839,69.67,69.76,22.74418,Richard Nixon,
1970,,,8.943169507,8.769434985,11007.46695,70.36,67.12,22.79705,Richard Nixon,
1971,,,8.864375062,8.778091179,11252.69389,70.18,70.21,25.10044,Richard Nixon,
1972,,,8.798713024,9.50778193,12051.20233,70.87,64.51,24.30507,Richard Nixon,
1973,,,8.690370662,10.57782176,12819.82547,71.38,65.83,22.77312,Richard Nixon,
1974,,,8.660822745,9.948829921,13165.63493,71.3,65.21,17.03484,Richard Nixon,
1975,,,8.578745198,9.784144891,13343.90089,71.85,60.79,18.44762,Gerald Ford,
1976,,,8.52949867,10.8475456,13349.55224,72,68.74,15.92405,Gerald Ford,
1977,,,8.559046587,10.59608155,13344.14487,72.52,66.17,14.03017,Jimmy Carter,
1978,,,8.447421123,10.92820823,13694.37881,73.08,65.94,12.48042,Jimmy Carter,
1979,,,8.358777373,11.40693831,14632.23762,73.37,67.23,12.74359,Jimmy Carter,
1980,25.46078,,8.325946354,12.1856846,15372.87969,73.66,64.89,10.90170,Jimmy Carter,
1981,25.4801,,8.263567418,10.72827309,15504.38506,73.98,65.29,10.98563,Ronald Reagan,
1982,25.50321,,8.168357464,8.926276769,15887.87324,74.55,58.56,10.68132,Ronald Reagan,
1983,25.52352,,8.046882695,8.565994969,16271.03092,74.46,61.49,11.69754,Ronald Reagan,Michael Jackson danced the Moonwalk for the first time
1984,25.54429,,7.96808825,8.659349263,16687.27239,74.77,58.15,9.711271,Ronald Reagan,Republic of Upper Volta was renamed to Burkina Faso
1985,25.56019,,7.905709314,10.13040524,17166.60394,74.44,58.08,10.14363,Ronald Reagan,Guns N' Roses was formed
1986,25.58275,,7.856462786,10.83556584,17562.96619,74.8,53.13,11.27954,Ronald Reagan,catastrophic nuclear accident occurred at Chernobyl
1987,25.61171,,7.941823435,11.67702694,18124.43227,74.83,53.53,10.42060,Ronald Reagan,stock markets crashed
1988,25.64807,,7.797366952,10.53789434,19015.40367,74.79,50.84,12.23222,Ronald Reagan,
1989,25.69802,,7.833481073,10.58474368,19908.95772,75.01,47.61,13.85027,George H. W. Bush,
1990,25.7386,0.401088474,7.869595194,10.37620486,19921.02316,75.04,48.56,12.52762,George H. W. Bush,
1991,25.77032,1.396162786,7.961522046,10.72881148,18623.78039,75.45,44.45,11.45089,George H. W. Bush,
1992,25.80032,1.884175563,7.89914311,9.504645632,17874.02535,75.7,47.25,10.86676,George H. W. Bush
1993,25.82563,2.565899705,7.826914869,9.990001436,17643.54519,75.94,44.38,8.497335,Bill Clinton
1994,25.85309,4.913200453,7.918841722,11.30341598,18209.5322,76.64,41.07,8.747498,Bill Clinton
1995,25.87877,13.90033654,7.416527135,10.34143453,18858.96271,76.66,41.3,7.658574,Bill Clinton
1996,25.90909,16.78205302,7.344298894,11.95613992,19468.15567,76.94,39.4,7.434973,Bill Clinton
1997,25.94636,19.45649457,7.465773663,11.67224497,20614.91289,77.13,37.67,7.585092,Bill Clinton
1998,25.98993,25.44030613,7.603663942,11.06259002,21594.65366,77.34,37.42,7.0938,Bill Clinton
1999,26.03724,32.27334121,7.5314357,10.73577173,22386.62957,77.53,34.49,7.493423,Bill Clinton
2000,26.09098,37.22803204,7.281919958,10.07782806,23529.53846,77.76,33.48,6.761196,Bill Clinton
2001,26.15458,43.08186648,7.295052365,10.88081802,24012.15877,78.23,32.83,7.777264,George W. Bush
2002,26.22336,62.39046955,7.341015792,11.75070541,24393.37625,78.37,31.41,7.233387,George W. Bush
2003,26.29856,69.18787978,7.37384681,13.21960352,24825.00902,78.63,,6.751605,George W. Bush
2004,26.37982,72.36085388,7.396828524,12.81352369,25774.06477,78.96,,6.563389,George W. Bush
2005,26.46406,74.45509807,7.465773663,10.41128388,26435.02344,79.09,,6.369313,George W. Bush
2006,26.55016,79.65497801,7.566341127,12.55148816,27495.24136,79.49,,5.530886,George W. Bush
2007,26.64191,80.80613384,7.547107764,12.08030121,28839.22241,79.53,,6.665033,George W. Bush
2008,26.73339,83.71621739,7.555116815,10.54824622,28789.54385,79.699,,,George W. Bush
2009,,82.53133098,7.555116815,10.02755881,26205.68832,79.783,,,Barack Obama
2010,,86.90934362,,11.42709901,26953.22055,79.987,,,Barack Obama
2011,,89.33300444,,10.171726,27570.4852,80.18,,,Barack Obama
2012,,,,,,80.362,,,Barack Obama
Source,MRC-HPA Centre for Environment and Health,World Bank,World Bank,CDIAC (Carbon Dioxide Information Analysis Center),World Bank,Gapminder,Based on IARC and WHO data,WHO,
